n_cells,seed,strategy,metric,dist
20,3,srnj_min_D,quartet_distance,0.04555183946488294
20,3,srnj_min_D,triplet_distance,0.14307692307692307
20,3,srnj_min_D,transfer_distance,
20,3,srnj_max_lca,rf_distance,0.13043478260869565
20,3,srnj_max_lca,quartet_distance,0.043010033444816055
20,3,srnj_max_lca,triplet_distance,0.13576923076923078
20,3,srnj_max_lca,transfer_distance,
20,3,gt_min,rf_distance,0.13043478260869565
20,3,gt_min,quartet_distance,0.03411371237458194
20,3,gt_min,triplet_distance,0.12115384615384615
20,3,gt_min,transfer_distance,
20,3,gt_max_lca,rf_distance,0.13043478260869565
20,3,gt_max_lca,quartet_distance,0.04555183946488294
20,3,gt_max_lca,triplet_distance,0.14307692307692307
20,3,gt_max_lca,transfer_distance,
20,3,hamming,rf_distance,0.13043478260869565
20,3,hamming,quartet_distance,0.03411371237458194
20,3,hamming,triplet_distance,0.12115384615384615
20,3,hamming,transfer_distance,
20,3,hamming_max_lca,rf_distance,0.13043478260869565
20,3,hamming_max_lca,quartet_distance,0.03411371237458194
20,3,hamming_max_lca,triplet_distance,0.12115384615384615
20,3,hamming_max_lca,transfer_distance,
20,3,nll,rf_distance,0.13043478260869565
20,3,nll,quartet_distance,0.037926421404682276
20,3,nll,triplet_distance,0.14307692307692307
20,3,nll,transfer_distance,
20,3,nll_max_lca,rf_distance,0.13043478260869565
20,3,nll_max_lca,quartet_distance,0.043010033444816055
20,3,nll_max_lca,triplet_distance,0.13576923076923078
20,3,nll_max_lca,transfer_distance,
20,4,dlca_nj,rf_distance,0.13043478260869565
20,4,dlca_nj,quartet_distance,0.037926421404682276
20,4,dlca_nj,triplet_distance,0.12846153846153846
20,4,dlca_nj,transfer_distance,
20,4,srnj_min_D,rf_distance,0.13043478260869565
20,4,srnj_min_D,quartet_distance,0.04555183946488294
20,4,srnj_min_D,triplet_distance,0.14307692307692307
20,4,srnj_min_D,transfer_distance,
20,4,srnj_max_lca,rf_distance,0.13043478260869565
20,4,srnj_max_lca,quartet_distance,0.04555183946488294
20,4,srnj_max_lca,triplet_distance,0.14307692307692307
